ID,Top,Jungle,Mid,Bot,Support,Enemy Top,Enemy Jungle,Enemy Mid,Enemy Bot,Enemy Support,Team Gold,Team Kills,Team Deaths,Dragons,Dragon Soul,Baron,Rift Herald,First tower,First Kill,Team Total CC,Victory
EUW1_6240967830,KSante,Belveth,Karma,Jhin,Taliyah,Garen,MasterYi,Anivia,Caitlyn,Lux,56125,31,23,4,True,1,2,True,False,130,True
EUW1_6240967830,Garen,MasterYi,Anivia,Caitlyn,Lux,KSante,Belveth,Karma,Jhin,Taliyah,57475,23,31,0,False,1,0,False,True,157,False
EUW1_6240986008,Garen,Udyr,Ekko,Varus,Amumu,Zac,Belveth,Vayne,Kaisa,Pyke,55525,28,28,5,True,1,2,False,False,192,True
EUW1_6240986008,Zac,Belveth,Vayne,Kaisa,Pyke,Garen,Udyr,Ekko,Varus,Amumu,58650,28,28,0,False,1,0,True,True,126,False
EUW1_6241005280,Warwick,Olaf,Garen,Lucian,Nami,Fiora,Elise,Cassiopeia,Varus,Lulu,39360,12,23,1,False,0,2,False,False,57,False
EUW1_6241005280,Fiora,Elise,Cassiopeia,Varus,Lulu,Warwick,Olaf,Garen,Lucian,Nami,40825,23,12,2,False,1,0,True,True,81,True
EUW1_6241021069,Gnar,Elise,Viktor,Kaisa,Rell,Olaf,Maokai,Ryze,Samira,Renata,40758,25,13,2,False,1,1,False,True,58,True
EUW1_6241021069,Olaf,Maokai,Ryze,Samira,Renata,Gnar,Elise,Viktor,Kaisa,Rell,36300,13,25,1,False,0,1,True,False,68,False
EUW1_6241049567,Poppy,Rengar,Orianna,Samira,Velkoz,KSante,Elise,Tristana,Caitlyn,Heimerdinger,55425,35,44,1,False,0,1,True,False,90,False
EUW1_6241049567,KSante,Elise,Tristana,Caitlyn,Heimerdinger,Poppy,Rengar,Orianna,Samira,Velkoz,59730,44,35,2,False,1,1,False,True,130,True
EUW1_6241073776,Darius,Elise,Yasuo,Xayah,Renata,Fiora,Sejuani,Yone,Varus,Velkoz,61800,33,46,2,False,0,2,True,False,151,False
EUW1_6241073776,Fiora,Sejuani,Yone,Varus,Velkoz,Darius,Elise,Yasuo,Xayah,Renata,62965,46,33,3,False,2,0,False,True,145,True
